"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State"
"3603700474",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.8,12.8,81.0126582278481,"Genesee","Alabama town","New York"
"3603701165",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.1,8.9,80.1801801801802,"Genesee","Alexander town","New York"
"3603704715",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",33,5.5,16.6666666666667,"Genesee","Batavia city","New York"
"3603704726",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18,16.1,89.4444444444444,"Genesee","Batavia town","New York"
"3603706057",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18.6,9.2,49.4623655913978,"Genesee","Bergen town","New York"
"3603706266",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",8.5,9.7,114.117647058824,"Genesee","Bethany town","New York"
"3603711572",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",29.3,18.9,64.5051194539249,"Genesee","Byron town","New York"
"3603719719",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",20.9,15.4,73.6842105263158,"Genesee","Darien town","New York"
"3603723756",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",4.8,4.5,93.75,"Genesee","Elba town","New York"
"3603742037",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",9.7,5.3,54.639175257732,"Genesee","Le Roy town","New York"
"3603754166",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14.9,9.6,64.4295302013423,"Genesee","Oakfield town","New York"
"3603756792",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",23.2,15.5,66.8103448275862,"Genesee","Pavilion town","New York"
"3603757078",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",27.1,19.8,73.0627306273063,"Genesee","Pembroke town","New York"
"3603770607",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",8.4,7.4,88.0952380952381,"Genesee","Stafford town","New York"
"3603775011",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",31.6,14.6,46.2025316455696,"Genesee","Tonawanda Reservation","New York"
"3605103364",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11,6,54.5454545454545,"Livingston","Avon town","New York"
"3605111715",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",3.2,2,62.5,"Livingston","Caledonia town","New York"
"3605117618",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",22.6,9.8,43.3628318584071,"Livingston","Conesus town","New York"
"3605128629",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",21.2,10.4,49.0566037735849,"Livingston","Geneseo town","New York"
"3605131016",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",10.1,8.4,83.1683168316832,"Livingston","Groveland town","New York"
"3605141883",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.5,15.3,92.7272727272727,"Livingston","Leicester town","New York"
"3605142334",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",17.2,8.2,47.6744186046512,"Livingston","Lima town","New York"
"3605142961",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",19.8,12.3,62.1212121212121,"Livingston","Livonia town","New York"
"3605148956",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",28.7,12.8,44.5993031358885,"Livingston","Mount Morris town","New York"
"3605151869",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",35.1,14.6,41.5954415954416,"Livingston","North Dansville town","New York"
"3605154089",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.8,7.1,42.2619047619048,"Livingston","Nunda town","New York"
"3605155508",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",12.4,10.6,85.4838709677419,"Livingston","Ossian town","New York"
"3605159179",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",19.5,13.1,67.1794871794872,"Livingston","Portage town","New York"
"3605170101",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",6.6,5.4,81.8181818181818,"Livingston","Sparta town","New York"
"3605170475",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",21.2,13.4,63.2075471698113,"Livingston","Springwater town","New York"
"3605181006",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",56.5,19.2,33.9823008849557,"Livingston","West Sparta town","New York"
"3605184022",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",7.6,11.3,148.684210526316,"Livingston","York town","New York"
"3605500000",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",NA,0,NA,"Monroe","County subdivisions not defined","New York"
"3605508246",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",7.1,5.1,71.8309859154929,"Monroe","Brighton town","New York"
"3605515462",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",7.5,3.1,41.3333333333333,"Monroe","Chili town","New York"
"3605515957",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",17.3,12.1,69.9421965317919,"Monroe","Clarkson town","New York"
"3605522870",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",32.6,13.6,41.7177914110429,"Monroe","East Rochester town","New York"
"3605528442",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.4,5.5,33.5365853658537,"Monroe","Gates town","New York"
"3605530290",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",13.6,3.2,23.5294117647059,"Monroe","Greece town","New York"
"3605531797",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",13.4,6.3,47.0149253731343,"Monroe","Hamlin town","New York"
"3605534099",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.8,4.4,37.2881355932203,"Monroe","Henrietta town","New York"
"3605537726",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",12.5,4.1,32.8,"Monroe","Irondequoit town","New York"
"3605546558",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",4.1,3.4,82.9268292682927,"Monroe","Mendon town","New York"
"3605554474",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",4.7,2.8,59.5744680851064,"Monroe","Ogden town","New York"
"3605556561",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.4,7.3,64.0350877192982,"Monroe","Parma town","New York"
"3605557144",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",4,2.3,57.5,"Monroe","Penfield town","New York"
"3605557221",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",7.8,3.3,42.3076923076923,"Monroe","Perinton town","New York"
"3605558365",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",2.7,1.2,44.4444444444444,"Monroe","Pittsford town","New York"
"3605561808",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.8,9.8,62.0253164556962,"Monroe","Riga town","New York"
"3605563000",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",51.6,2.4,4.65116279069767,"Monroe","Rochester city","New York"
"3605564144",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",5.6,6.4,114.285714285714,"Monroe","Rush town","New York"
"3605572455",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",7.7,4.5,58.4415584415584,"Monroe","Sweden town","New York"
"3605578971",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",10.4,3,28.8461538461538,"Monroe","Webster town","New York"
"3605581402",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",20.9,12.6,60.2870813397129,"Monroe","Wheatland town","New York"
"3606908378",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",3.7,4.9,132.432432432432,"Ontario","Bristol town","New York"
"3606912100",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",20.8,21.4,102.884615384615,"Ontario","Canadice town","New York"
"3606912144",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18.6,8,43.010752688172,"Ontario","Canandaigua city","New York"
"3606912155",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.1,6.6,59.4594594594595,"Ontario","Canandaigua town","New York"
"3606921699",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",12.5,8.9,71.2,"Ontario","East Bloomfield town","New York"
"3606925406",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14.5,5.5,37.9310344827586,"Ontario","Farmington town","New York"
"3606928640",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",33.3,8.6,25.8258258258258,"Ontario","Geneva city","New York"
"3606928651",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",10.5,9.4,89.5238095238095,"Ontario","Geneva town","New York"
"3606929531",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",13.1,15.3,116.793893129771,"Ontario","Gorham town","New York"
"3606935551",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.8,8.6,72.8813559322034,"Ontario","Hopewell town","New York"
"3606944864",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.1,4.4,39.6396396396396,"Ontario","Manchester town","New York"
"3606949440",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",18.9,12.9,68.2539682539683,"Ontario","Naples town","New York"
"3606957529",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14.6,7.6,52.0547945205479,"Ontario","Phelps town","New York"
"3606961544",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",0,7.4,NA,"Ontario","Richmond town","New York"
"3606966289",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",9,7.9,87.7777777777778,"Ontario","Seneca town","New York"
"3606968660",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",25.3,19.8,78.2608695652174,"Ontario","South Bristol town","New York"
"3606977387",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",1.4,1.6,114.285714285714,"Ontario","Victor town","New York"
"3606979356",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",12.7,8.9,70.0787401574803,"Ontario","West Bloomfield town","New York"
"3607300000",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",NA,0,NA,"Orleans","County subdivisions not defined","New York"
"3607301044",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",33.3,15.5,46.5465465465466,"Orleans","Albion town","New York"
"3607304572",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",20.6,12.1,58.7378640776699,"Orleans","Barre town","New York"
"3607312496",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",3.5,5,142.857142857143,"Orleans","Carlton town","New York"
"3607315880",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",22.9,19,82.9694323144105,"Orleans","Clarendon town","New York"
"3607327958",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",14.2,12.5,88.0281690140845,"Orleans","Gaines town","New York"
"3607339188",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",29.2,11.6,39.7260273972603,"Orleans","Kendall town","New York"
"3607349286",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",27.5,8.1,29.4545454545455,"Orleans","Murray town","New York"
"3607361742",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",12.9,5.1,39.5348837209302,"Orleans","Ridgeway town","New York"
"3607366751",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",28.8,12.4,43.0555555555556,"Orleans","Shelby town","New York"
"3607383448",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",13.9,8.6,61.8705035971223,"Orleans","Yates town","New York"
"3609918663",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",16.6,9.5,57.2289156626506,"Seneca","Covert town","New York"
"3609925505",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",8.3,6.3,75.9036144578313,"Seneca","Fayette town","New York"
"3609928640",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",NA,0,NA,"Seneca","Geneva city","New York"
"3609938858",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",15.3,11.5,75.1633986928105,"Seneca","Junius town","New York"
"3609943225",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",9.2,5.1,55.4347826086957,"Seneca","Lodi town","New York"
"3609955827",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",19.5,12.5,64.1025641025641,"Seneca","Ovid town","New York"
"3609963440",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",7.6,5.7,75,"Seneca","Romulus town","New York"
"3609966333",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",11.5,4.8,41.7391304347826,"Seneca","Seneca Falls town","New York"
"3609975902",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",12.9,7.6,58.9147286821705,"Seneca","Tyre town","New York"
"3609976958",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",10.8,8.1,75,"Seneca","Varick town","New York"
"3609978564",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",29.7,13.1,44.1077441077441,"Seneca","Waterloo town","New York"
"3611700000",2015,"S1701_C03_002","Percent Under 18 Below Poverty (Last 12 Months)",NA,0,NA,"Wayne","County subdivisions not defined","New York"
